Sample,Sex,Washed,Concentration,Zoospores,ZE,pa
AB 1a,male,unwashed,0,6.22E-05,0,0
AB 1b,male,unwashed,0,1.55E-05,0,0
AB 2a,female,unwashed,0,,0,0
AB 2b,female,unwashed,0,1.14E-04,0,0
AB 3a,male,unwashed,1000,,0,0
AB 3b,male,unwashed,1000,,0,0
AB 4a,female,unwashed,1000,0.0570218,0.456,1
AB 4b,female,unwashed,1000,,0,0
AB 5a,male,unwashed,10000,3.16679,25.33,1
AB 5b,male,unwashed,10000,0.0749758,0.5998064,1
AB 6a,female,unwashed,10000,0.0273989,0.2191912,1
AB 6b,female,unwashed,10000,0.278155,2.22524,1
AB 7a,male,unwashed,100000,4.85527,38.84216,1
AB 7b,male,unwashed,100000,3.38545,27.0836,1
AB 8a,female,unwashed,100000,3.1045,24.836,1
AB 8b,female,unwashed,100000,5.16172,41.29376,1
AB 9a,male,unwashed,1000000,41.5192,332.1536,1
AB 9b,male,unwashed,1000000,71.5192,572.1536,1
AB 10a,female,unwashed,1000000,83.8854,671.0832,1
AB 10b,female,unwashed,1000000,86.0598,688.4784,1
AB 11a,male,washed,0,2.78E-05,0.00E+00,0
AB 11b,male,washed,0,2.11E-05,0,0
AB 12a,female,washed,0,,0,0
AB 12b,female,washed,0,1.95E-05,0,0
AB 13a,male,washed,1000,0.104149,0.833192,1
AB 13b,male,washed,1000,1.44E-05,0.00E+00,0
AB 14a,female,washed,1000,0.110443,0.883544,1
AB 14b,female,washed,1000,0.23192,1.85536,1
AB 15a,male,washed,10000,0.702445,5.61956,1
AB 15b,male,washed,10000,1.74237,13.93896,1
AB 16a,female,washed,10000,1.43149,11.45192,1
AB 16b,female,washed,10000,0.0311193,0.2489544,1
AB 17a ,male,washed,100000,3.19135,25.5308,1
AB 17b,male,washed,100000,0.251875,2.015,1
AB 18a,female,washed,100000,1.94671,15.57368,1
AB 18b,female,washed,100000,2.2941,18.3528,1
AB 19a,male,washed,1000000,1.66E+03,1.33E+04,1
AB 19b,male,washed,1000000,28.8127,230.5016,1
AB 20a,female,washed,1000000,4.30598,34.44784,1
AB 20b,female,washed,1000000,37.1269,297.0152,1